142
74
620,108,1
620,109,2
620,110,3
619,111,4
619,112,5
619,112,6
618,114,7
618,116,8
617,116,9
617,118,10
616,120,11
615,122,12
615,123,13
614,125,14
614,127,15
613,129,16
612,132,17
611,135,18
611,137,19
609,139,20
609,143,21
607,145,22
607,147,23
605,151,24
605,154,25
604,157,26
603,160,27
602,163,28
600,166,29
600,169,30
598,172,31
597,176,32
596,179,33
596,182,34
594,186,35
593,189,36
592,192,37
590,195,38
589,199,39
588,202,40
587,206,41
586,209,42
584,212,43
584,217,44
582,220,45
581,223,46
580,226,47
578,230,48
578,233,49
576,236,50
575,240,51
574,243,52
573,247,53
572,250,54
571,253,55
570,256,56
569,260,57
567,263,58
567,266,59
565,269,60
565,273,61
563,275,62
562,279,63
561,282,64
561,285,65
559,288,66
558,291,67
557,293,68
556,296,69
555,299,70
554,302,71
554,305,72
552,308,73
552,310,74
553,309,75
